"time","current","voltage"
0,-0.0025487,-80
0.1,0.0063014,-80
0.2,0.0018764,-80
0.3,-0.0051427,-80
0.4,0.0011134,-80
0.5,-0.00056503,-80
0.6,-0.00010727,-80
0.7,-0.001328,-80
0.8,0.00050308,-80
0.9,-0.006516,-80
1,0.0049281,-80
1.1,0.0069118,-80
1.2,-0.00071762,-80
1.3,-0.00056503,-80
1.4,-0.00010727,-80
1.5,0.0021815,-80
1.6,-0.0033116,-80
1.7,-0.0011754,-80
1.8,0.0043178,-80
1.9,0.0030971,-80
2,-0.0030064,-80
2.1,0.0095058,-80
2.2,-0.003922,-80
2.3,-0.0042271,-80
2.4,0.0035548,-80
2.5,-0.0042271,-80
2.6,-0.00010727,-80
2.7,0.0024867,-80
2.8,0.00050308,-80
2.9,-0.00041244,-80
3,-0.00071762,-80
3.1,-0.0022435,-80
3.2,0.0055385,-80
3.3,-0.0074315,-80
3.4,0.0017238,-80
3.5,0.00065567,-80
3.6,-0.0028539,-80
3.7,0.0070644,-80
3.8,-0.0030064,-80
3.9,0.0029445,-80
4,0.0040126,-80
4.1,0.0040126,-80
4.2,-0.0011754,-80
4.3,4.532e-05,-80
4.4,-0.0089574,-80
4.5,-0.012009,-80
4.6,-0.00041244,-80
4.7,-0.00010727,-80
4.8,0.010116,-80
4.9,0.0034023,-80
5,0.0044704,-80
5.1,0.0023341,-80
5.2,0.0017238,-80
5.3,-0.0075841,-80
5.4,-0.0045323,-80
5.5,-0.0059056,-80
5.6,0.011642,-80
5.7,-0.0052953,-80
5.8,-0.001328,-80
5.9,0.0044704,-80
6,-0.00071762,-80
6.1,-0.0027013,-80
6.2,-0.0052953,-80
6.3,0.0078273,-80
6.4,-0.00025986,-80
6.5,-0.0030064,-80
6.6,-0.0071263,-80
6.7,-0.0030064,-80
6.8,0.00080826,-80
6.9,-0.0017857,-80
7,0.0018764,-80
7.1,0.0093532,-80
7.2,0.007217,-80
7.3,-0.0037694,-80
7.4,-0.0095677,-80
7.5,-0.0023961,-80
7.6,-0.0069737,-80
7.7,-0.0059056,-80
7.8,0.00035049,-80
7.9,0.011947,-80
8,0.010116,-80
8.1,0.0011134,-80
8.2,-0.016587,-80
8.3,-0.00041244,-80
8.4,0.0015712,-80
8.5,-0.0040746,-80
8.6,-0.0095677,-80
8.7,-0.001328,-80
8.8,0.0034023,-80
8.9,0.0011134,-80
9,-0.0084996,-80
9.1,0.0037074,-80
9.2,0.0082851,-80
9.3,-0.0059056,-80
9.4,-0.0052953,-80
9.5,-0.0016331,-80
9.6,0.007217,-80
9.7,0.0023341,-80
9.8,-0.0037694,-80
9.9,0.0058437,-80
10,-0.0023961,-80
10.1,-0.0046849,-80
10.2,0.0018764,-80
10.3,0.00065567,-80
10.4,-0.0023961,-80
10.5,-0.0060582,-80
10.6,0.0043178,-80
10.7,0.0050807,-80
10.8,0.0027919,-80
10.9,-0.001328,-80
11,0.0018764,-80
11.1,-0.0034642,-80
11.2,0.001266,-80
11.3,0.0061488,-80
11.4,0.0052333,-80
11.5,0.0003505,-80
11.6,0.00096085,-80
11.7,-0.0028539,-80
11.8,0.0026393,-80
11.9,0.0075221,-80
12,0.0011134,-80
12.1,-0.0045323,-80
12.2,0.00065567,-80
12.3,-0.0091099,-80
12.4,-0.0052953,-80
12.5,-0.0034642,-80
12.6,0.0040126,-80
12.7,0.0026393,-80
12.8,0.0035548,-80
12.9,0.001266,-80
13,0.0043178,-80
13.1,-0.0084996,-80
13.2,-0.0019383,-80
13.3,4.532e-05,-80
13.4,-0.00087021,-80
13.5,0.0053859,-80
13.6,-0.001328,-80
13.7,0.0049281,-80
13.8,0.0024867,-80
13.9,-0.0045323,-80
14,-0.0059056,-80
14.1,0.0041652,-80
14.2,0.0067592,-80
14.3,0.0050807,-80
14.4,0.0023341,-80
14.5,-0.0040746,-80
14.6,-0.0034642,-80
14.7,-0.0014806,-80
14.8,0.0029445,-80
14.9,0.0037074,-80
15,0.004623,-80
15.1,0.00050308,-80
15.2,0.0034022,-80
15.3,0.0032497,-80
15.4,-0.0045323,-80
15.5,0.0015712,-80
15.6,-0.0062108,-80
15.7,-0.0010228,-80
15.8,0.0075221,-80
15.9,0.0081325,-80
16,-0.00041245,-80
16.1,-0.0049901,-80
16.2,-0.0066685,-80
16.3,-0.0034642,-80
16.4,0.0026393,-80
16.5,-0.00071762,-80
16.6,-0.0033116,-80
16.7,0.0055385,-80
16.8,0.010574,-80
16.9,0.0043178,-80
17,-0.0043797,-80
17.1,-0.0019383,-80
17.2,-0.0080418,-80
17.3,-0.0020909,-80
17.4,0.0024867,-80
17.5,0.00386,-80
17.6,0.0017238,-80
17.7,0.002029,-80
17.8,0.0021815,-80
17.9,0.0030971,-80
18,0.0037074,-80
18.1,-0.0046849,-80
18.2,-0.0020909,-80
18.3,-0.0010228,-80
18.4,0.0032497,-80
18.5,0.002029,-80
18.6,-0.0092625,-80
18.7,-0.001328,-80
18.8,-0.0052953,-80
18.9,-0.00010726,-80
19,0.0041652,-80
19.1,0.0029445,-80
19.2,-0.010483,-80
19.3,0.0023341,-80
19.4,-0.0034642,-80
19.5,0.010116,-80
19.6,0.010421,-80
19.7,0.0059962,-80
19.8,-0.0066686,-80
19.9,-0.0052953,-80
20,0.0079799,-80
20.1,-0.0051427,-80
20.2,0.002029,-80
20.3,0.0053859,-80
20.4,-0.00010727,-80
20.5,-0.0023961,-80
20.6,0.0035548,-80
20.7,-0.0033116,-80
20.8,-0.0016331,-80
20.9,0.00050309,-80
21,0.0073695,-80
21.1,-0.0051427,-80
21.2,-0.0094151,-80
21.3,0.0069118,-80
21.4,0.011032,-80
21.5,0.0026393,-80
21.6,-0.0056004,-80
21.7,-0.0043797,-80
21.8,-0.006516,-80
21.9,0.0024867,-80
22,0.001266,-80
22.1,0.0066066,-80
22.2,0.0084377,-80
22.3,0.00065567,-80
22.4,-0.0010228,-80
22.5,-0.013535,-80
22.6,-0.0071263,-80
22.7,-0.00056503,-80
22.8,0.0018764,-80
22.9,-0.0025487,-80
23,-0.0011754,-80
23.1,4.532e-05,-80
23.2,0.0043178,-80
23.3,0.0024867,-80
23.4,0.0061488,-80
23.5,0.0055385,-80
23.6,-0.0019383,-80
23.7,0.001266,-80
23.8,-0.0020909,-80
23.9,-0.0069737,-80
24,-0.0010228,-80
24.1,-0.0030064,-80
24.2,0.0011134,-80
24.3,0.0069118,-80
24.4,-0.00025986,-80
24.5,-0.0017857,-80
24.6,0.0032497,-80
24.7,0.00080825,-80
24.8,0.0044704,-80
24.9,0.0058437,-80
25,-0.0023961,-80
25.1,-0.0028538,-80
25.2,-0.0056004,-80
25.3,0.0011134,-80
25.4,0.010574,-80
25.5,-0.0048375,-80
25.6,-0.0046849,-80
25.7,0.0082851,-80
25.8,0.0003505,-80
25.9,-0.0019383,-80
26,0.0026393,-80
26.1,-0.0077367,-80
26.2,0.004623,-80
26.3,0.0069118,-80
26.4,-0.0023961,-80
26.5,-0.003159,-80
26.6,-0.0051427,-80
26.7,0.0049281,-80
26.8,0.0053859,-80
26.9,0.0081325,-80
27,0.0087428,-80
27.1,-0.0081944,-80
27.2,-0.0088048,-80
27.3,-0.0052952,-80
